epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,0.702436,0.47074,0.5,1,0.51021,0,0,0
2,8.53418,0.64769,0.5,1,0.47617,1.6505e-05,1.6505e-05,1.6505e-05
3,8.78096,0.41454,1,1,0.41806,3.26799e-05,3.26799e-05,3.26799e-05
4,9.01744,0.51504,1,1,0.35586,4.85247e-05,4.85247e-05,4.85247e-05
5,9.25678,0.46809,1,1,0.29406,6.40395e-05,6.40395e-05,6.40395e-05
6,9.5426,0.3525,1,1,0.22504,7.92242e-05,7.92242e-05,7.92242e-05
7,9.78818,0.17179,1,1,0.17179,9.40788e-05,9.40788e-05,9.40788e-05
8,10.0809,0.23608,1,1,0.13337,0.000108603,0.000108603,0.000108603
9,10.3204,0.09406,1,1,0.10347,0.000122798,0.000122798,0.000122798
10,10.5584,0.07672,1,1,0.07771,0.000136662,0.000136662,0.000136662
11,10.7937,0.05909,1,1,0.0573,0.000150197,0.000150197,0.000150197
12,11.0298,0.10039,1,1,0.04425,0.000163401,0.000163401,0.000163401
13,11.2736,0.03391,1,1,0.03474,0.000176275,0.000176275,0.000176275
14,11.5084,0.01991,1,1,0.02697,0.000188819,0.000188819,0.000188819
15,11.7526,0.02734,1,1,0.01896,0.000201034,0.000201034,0.000201034
16,12.0435,0.01292,1,1,0.01501,0.000212918,0.000212918,0.000212918
17,12.3368,0.0098,1,1,0.01193,0.000224472,0.000224472,0.000224472
18,12.5886,0.006,1,1,0.01193,0.000235695,0.000235695,0.000235695
19,12.8272,0.01038,1,1,0.00775,0.000246589,0.000246589,0.000246589
20,13.0421,0.00564,1,1,0.00775,0.000257153,0.000257153,0.000257153
21,13.282,0.01323,1,1,0.00574,0.000267387,0.000267387,0.000267387
22,13.5008,0.00335,1,1,0.00574,0.00027729,0.00027729,0.00027729
23,13.7382,0.00925,1,1,0.00384,0.000286864,0.000286864,0.000286864
24,13.9588,0.0052,1,1,0.00384,0.000296108,0.000296108,0.000296108
25,14.2471,0.00595,1,1,0.00307,0.000305021,0.000305021,0.000305021
26,14.4679,0.00303,1,1,0.00307,0.000313604,0.000313604,0.000313604
27,14.7096,0.00179,1,1,0.00233,0.000321858,0.000321858,0.000321858
28,14.9305,0.00612,1,1,0.00233,0.000329781,0.000329781,0.000329781
29,15.1661,0.00149,1,1,0.0018,0.000337374,0.000337374,0.000337374
30,15.3896,0.00124,1,1,0.0018,0.000344637,0.000344637,0.000344637
31,15.6293,0.00136,1,1,0.00113,0.00035157,0.00035157,0.00035157
32,15.849,0.00163,1,1,0.00113,0.000358173,0.000358173,0.000358173
33,16.086,0.00108,1,1,0.00092,0.000364446,0.000364446,0.000364446
34,16.3522,0.00117,1,1,0.00092,0.000370389,0.000370389,0.000370389
35,16.5877,0.00097,1,1,0.00082,0.000376002,0.000376002,0.000376002
36,16.81,0.00218,1,1,0.00082,0.000381285,0.000381285,0.000381285
37,17.0556,0.00122,1,1,0.00072,0.000386237,0.000386237,0.000386237
38,17.2825,0.00078,1,1,0.00072,0.00039086,0.00039086,0.00039086
39,17.5144,0.00079,1,1,0.00055,0.000395152,0.000395152,0.000395152
40,17.7771,0.00048,1,1,0.00055,0.000399115,0.000399115,0.000399115
41,18.035,0.00367,1,1,0.00044,0.000402747,0.000402747,0.000402747
42,18.3196,0.0003,1,1,0.00044,0.00040605,0.00040605,0.00040605
43,18.6791,0.0009,1,1,0.00037,0.000409022,0.000409022,0.000409022
44,18.9217,0.00059,1,1,0.00037,0.000411664,0.000411664,0.000411664
45,19.1789,0.00043,1,1,0.00032,0.000413976,0.000413976,0.000413976
46,19.4193,0.00024,1,1,0.00032,0.000415958,0.000415958,0.000415958
47,19.6639,0.00026,1,1,0.00024,0.00041761,0.00041761,0.00041761
48,19.8856,0.00039,1,1,0.00024,0.000418932,0.000418932,0.000418932
49,20.1374,0.00032,1,1,0.00021,0.000419924,0.000419924,0.000419924
50,20.4433,0.00094,1,1,0.00021,0.000420586,0.000420586,0.000420586
51,20.6834,0.00031,1,1,0.00022,0.000420918,0.000420918,0.000420918
52,20.9706,0.00044,1,1,0.00022,0.000420919,0.000420919,0.000420919
53,21.2025,0.00033,1,1,0.00022,0.000420591,0.000420591,0.000420591
54,21.4521,0.00058,1,1,0.00017,0.000419932,0.000419932,0.000419932
55,21.6872,0.0005,1,1,0.00017,0.000418944,0.000418944,0.000418944
56,21.9183,0.00013,1,1,0.00017,0.000417625,0.000417625,0.000417625
57,22.222,0.00032,1,1,0.00018,0.000415977,0.000415977,0.000415977
58,22.5081,0.00035,1,1,0.00018,0.000413998,0.000413998,0.000413998
59,22.7254,0.00032,1,1,0.00018,0.000411689,0.000411689,0.000411689
60,22.9627,0.00017,1,1,0.00014,0.00040905,0.00040905,0.00040905
61,23.1946,0.00032,1,1,0.00014,0.000406081,0.000406081,0.000406081
62,23.4585,0.00107,1,1,0.00014,0.000402782,0.000402782,0.000402782
63,23.7151,0.00025,1,1,0.00013,0.000399153,0.000399153,0.000399153
64,23.9552,0.00024,1,1,0.00013,0.000395194,0.000395194,0.000395194
65,24.1873,0.00013,1,1,0.00013,0.000390905,0.000390905,0.000390905
66,24.4296,0.00017,1,1,0.00013,0.000386286,0.000386286,0.000386286
67,24.7183,0.00012,1,1,0.00013,0.000381336,0.000381336,0.000381336
68,24.9928,0.00097,1,1,0.00013,0.000376057,0.000376057,0.000376057
69,25.2412,0.0003,1,1,0.00012,0.000370447,0.000370447,0.000370447
70,25.4561,8e-05,1,1,0.00012,0.000364508,0.000364508,0.000364508
71,25.7161,0.00011,1,1,0.00012,0.000358238,0.000358238,0.000358238
72,25.9606,0.00045,1,1,0.00012,0.000351639,0.000351639,0.000351639
73,26.1958,0.00027,1,1,0.00012,0.000344709,0.000344709,0.000344709
74,26.4417,0.00026,1,1,0.00012,0.000337449,0.000337449,0.000337449
75,26.7725,0.00026,1,1,0.00011,0.000329859,0.000329859,0.000329859
76,26.9859,8e-05,1,1,0.00011,0.000321939,0.000321939,0.000321939
77,27.2443,0.00015,1,1,0.00011,0.000313689,0.000313689,0.000313689
78,27.5925,0.00011,1,1,0.0001,0.000305109,0.000305109,0.000305109
79,27.893,0.00011,1,1,0.0001,0.000296199,0.000296199,0.000296199
80,28.1223,0.00012,1,1,0.0001,0.000286959,0.000286959,0.000286959
81,28.3609,0.00028,1,1,0.00012,0.000277389,0.000277389,0.000277389
82,28.6002,0.00014,1,1,0.00012,0.000267488,0.000267488,0.000267488
83,28.863,9e-05,1,1,0.00012,0.000257258,0.000257258,0.000257258
84,29.0909,0.00021,1,1,0.00011,0.000246698,0.000246698,0.000246698
85,29.3209,0.00011,1,1,0.00011,0.000235807,0.000235807,0.000235807
86,29.5857,9e-05,1,1,0.00011,0.000224587,0.000224587,0.000224587
87,29.8076,0.00027,1,1,0.00011,0.000213036,0.000213036,0.000213036
88,30.0455,0.00011,1,1,9e-05,0.000201155,0.000201155,0.000201155
89,30.2831,0.00021,1,1,9e-05,0.000188944,0.000188944,0.000188944
90,30.5222,0.00013,1,1,9e-05,0.000176404,0.000176404,0.000176404
91,30.7441,0.00013,1,1,9e-05,0.000163533,0.000163533,0.000163533
92,31.0185,0.0002,1,1,0.0001,0.000150332,0.000150332,0.000150332
93,31.2314,7e-05,1,1,0.0001,0.000136801,0.000136801,0.000136801
94,31.4889,0.00047,1,1,0.0001,0.00012294,0.00012294,0.00012294
95,31.7235,0.00013,1,1,0.0001,0.000108748,0.000108748,0.000108748
96,31.9733,0.00014,1,1,0.00011,9.42272e-05,9.42272e-05,9.42272e-05
97,32.1997,0.00013,1,1,0.00011,7.93759e-05,7.93759e-05,7.93759e-05
98,32.4148,8e-05,1,1,0.00011,6.41945e-05,6.41945e-05,6.41945e-05
99,32.6481,8e-05,1,1,0.00011,4.86831e-05,4.86831e-05,4.86831e-05
100,32.8895,8e-05,1,1,9e-05,3.28416e-05,3.28416e-05,3.28416e-05
